gen,pop,iq,iq_b,truth,error
5,302,98.9,94.5,1,0.000
6,311,98.7,94.0,1,0.000
7,318,98.6,93.2,1,0.000
8,326,98.4,93.6,1,0.000
9,338,98.4,93.5,4,0.000
10,339,98.3,93.5,4,0.000
11,348,98.2,93.5,5,0.000
12,353,98.1,93.5,5,0.000
13,356,98.1,93.3,6,0.000
14,366,98.2,93.5,6,0.000
15,371,98.3,93.5,6,0.000
16,379,98.2,93.7,7,0.000
17,385,98.1,93.7,7,0.000
18,389,98.1,93.7,7,0.000
19,392,98.0,93.8,7,0.000
20,397,97.9,93.8,7,0.000
21,400,97.9,93.7,8,0.000
22,404,98.1,93.8,8,0.000
23,409,98.0,94.1,10,0.000
24,411,98.0,94.1,10,0.000
25,415,97.9,93.9,10,0.000
26,420,97.8,93.7,10,0.000
27,423,97.8,93.6,11,0.000
28,425,97.8,93.6,11,0.000
29,426,97.8,93.6,11,0.000
30,428,97.8,93.6,11,0.000
31,429,97.7,93.5,12,0.000
32,431,97.7,93.5,14,0.000
33,435,97.7,93.7,14,0.000
34,437,97.7,93.7,14,0.000
35,442,97.7,93.6,14,0.000
36,442,97.7,93.6,16,0.000
37,445,97.7,93.7,18,0.000
38,448,97.7,93.8,19,0.000
39,450,97.7,93.8,20,0.000
40,452,97.6,93.9,20,0.000
41,454,97.6,93.9,23,0.000
42,456,97.5,93.8,24,0.000
43,457,97.4,93.8,24,0.000
44,457,97.4,93.8,24,0.000
45,459,97.5,93.8,26,0.038
46,459,97.5,93.8,26,0.038
47,463,97.4,93.6,28,0.036
48,466,97.5,93.6,29,0.034
49,469,97.5,93.8,29,0.034
50,471,97.6,93.7,31,0.032
51,472,97.6,93.8,31,0.032
52,474,97.7,93.8,33,0.030
53,477,97.6,93.8,38,0.053
54,479,97.6,93.8,41,0.049
55,480,97.6,93.9,42,0.071
56,480,97.6,93.9,42,0.071
57,481,97.6,93.9,42,0.071
58,481,97.6,93.9,42,0.071
59,482,97.6,94.0,43,0.070
